game_id,additions,additions_count
968329,[],0
871264,[],0
494382,[],0
42857,[],0
845261,[],0
966349,[],0
452636,"[{'id': 959926, 'slug': 'forspoken-in-tanta-we-trust', 'name': 'Forspoken: In Tanta We Trust', 'released': '2023-05-23', 'tba': False, 'background_image': 'https://media.rawg.io/media/games/10a/10a743d9315ca44699422aaee4d9ef4b.jpg', 'rating': 0.0, 'rating_top': 0, 'ratings': [{'id': 3, 'title': 'meh', 'count': 3, 'percent': 100.0}], 'ratings_count': 3, 'reviews_text_count': 0, 'added': 4, 'added_by_status': {'beaten': 4}, 'metacritic': None, 'playtime': 0, 'suggestions_count': 0, 'updated': '2024-06-10T17:46:00', 'user_game': None, 'reviews_count': 3, 'community_rating': 0, 'saturated_color': '0f0f0f', 'dominant_color': '0f0f0f', 'platforms': [{'platform': {'id': 187, 'name': 'PlayStation 5', 'slug': 'playstation5', 'image': None, 'year_end': None, 'year_start': 2020, 'games_count': 1353, 'image_background': 'https://media.rawg.io/media/games/559/559bc0768f656ad0c63c54b80a82d680.jpg'}, 'released_at': '2023-05-23', 'requirements_en': None, 'requirements_ru': None}, {'platform': {'id': 4, 'name': 'PC', 'slug': 'pc', 'image': None, 'year_end': None, 'year_start': None, 'games_count': 558895, 'image_background': 'https://media.rawg.io/media/games/46d/46d98e6910fbc0706e2948a7cc9b10c5.jpg'}, 'released_at': '2023-05-23', 'requirements_en': None, 'requirements_ru': None}], 'parent_platforms': [{'platform': {'id': 1, 'name': 'PC', 'slug': 'pc'}}, {'platform': {'id': 2, 'name': 'PlayStation', 'slug': 'playstation'}}], 'genres': [{'id': 4, 'name': 'Action', 'slug': 'action', 'games_count': 190861, 'image_background': 'https://media.rawg.io/media/games/942/9424d6bb763dc38d9378b488603c87fa.jpg'}, {'id': 3, 'name': 'Adventure', 'slug': 'adventure', 'games_count': 151045, 'image_background': 'https://media.rawg.io/media/games/b54/b54598d1d5cc31899f4f0a7e3122a7b0.jpg'}], 'stores': [], 'clip': None, 'tags': [], 'esrb_rating': None, 'short_screenshots': [{'id': -1, 'image': 'https://media.rawg.io/media/games/10a/10a743d9315ca44699422aaee4d9ef4b.jpg'}]}]",1
799323,[],0
949868,[],0
427490,[],0
614961,[],0
936663,[],0
631942,[],0
801623,[],0
61332,[],0
677165,[],0
801638,[],0
494379,[],0
892902,[],0
705258,[],0
842395,[],0
962137,[],0
962495,[],0
650621,[],0
494484,[],0
619744,[],0
366883,[],0
742771,[],0
704788,[],0
586042,[],0
392250,[],0
962024,[],0
934079,[],0
960873,"[{'id': 602588, 'slug': 'game-817', 'name': '22', 'released': '2021-05-13', 'tba': False, 'background_image': 'https://media.rawg.io/media/screenshots/bae/baeaf0e92e91c0c6ef09a58bcc11fa48.jpg', 'rating': 0.0, 'rating_top': 0, 'ratings': [], 'ratings_count': 0, 'reviews_text_count': 0, 'added': 0, 'added_by_status': None, 'metacritic': None, 'playtime': 0, 'suggestions_count': 4, 'updated': '2021-05-14T05:19:14', 'user_game': None, 'reviews_count': 0, 'community_rating': 0, 'saturated_color': '0f0f0f', 'dominant_color': '0f0f0f', 'platforms': [{'platform': {'id': 171, 'name': 'Web', 'slug': 'web', 'image': None, 'year_end': None, 'year_start': None, 'games_count': 260068, 'image_background': 'https://media.rawg.io/media/screenshots/edd/edd31d4a79e7a25c1a58cb2700c40ba0.jpg'}, 'released_at': '2021-05-13', 'requirements_en': None, 'requirements_ru': None}], 'parent_platforms': [{'platform': {'id': 14, 'name': 'Web', 'slug': 'web'}}], 'genres': [{'id': 83, 'name': 'Platformer', 'slug': 'platformer', 'games_count': 100905, 'image_background': 'https://media.rawg.io/media/games/d5a/d5a24f9f71315427fa6e966fdd98dfa6.jpg'}], 'stores': [{'id': 596895, 'store': {'id': 9, 'name': 'itch.io', 'slug': 'itch', 'domain': 'itch.io', 'games_count': 654175, 'image_background': 'https://media.rawg.io/media/games/f90/f90ee1a4239247a822771c40488e68c5.jpg'}}], 'clip': None, 'tags': [{'id': 2664, 'name': 'prototype', 'slug': 'prototype', 'language': 'eng', 'games_count': 6080, 'image_background': 'https://media.rawg.io/media/screenshots/f8e/f8e6986bd8bfb82a278c160f450e25dc.jpg'}], 'esrb_rating': None, 'short_screenshots': [{'id': -1, 'image': 'https://media.rawg.io/media/screenshots/bae/baeaf0e92e91c0c6ef09a58bcc11fa48.jpg'}, {'id': 2841712, 'image': 'https://media.rawg.io/media/screenshots/bae/baeaf0e92e91c0c6ef09a58bcc11fa48.jpg'}]}]",1
965470,[],0
91642,[],0
776267,[],0
959953,[],0
911543,[],0
571696,[],0
892898,[],0
914795,[],0
617209,[],0
772603,[],0
571689,[],0
362880,[],0
964000,[],0
966216,[],0
961200,[],0
537745,[],0
616677,[],0
840776,[],0
616687,[],0
850698,[],0
720949,[],0
962108,[],0
801842,[],0
618663,[],0
960332,[],0
795479,[],0
727317,[],0
952122,[],0
840783,[],0
471018,[],0
59349,[],0
759884,[],0
736275,[],0
923014,[],0
932691,[],0
375192,[],0
379536,[],0
947973,[],0
840781,[],0
427462,[],0
672323,[],0
850683,[],0
614952,[],0
295014,[],0
959976,[],0
836443,[],0
704793,[],0
966910,[],0
799269,[],0
37818,[],0
879558,[],0
857636,[],0
502116,[],0
973835,[],0
530345,[],0
945034,[],0
959855,[],0
